tagcompany,tagname,tagdate,tagorg,tagrank,tagsuper,tagtel,tagloc,tagrot,tagwc,tagtask,taghead,tagceo
포스코에너지,김병준,모레,STS품질관리섹션,P9,팀장(마케팅위원),010-3321-1256,,C조,휴무,2정정 스카퍼,국내사업관리실장,VST법인장
포스코ESM,김병한,어제,냉연품질관리섹션,PCP,팀장(연구위원),010-1234-1256,,D조,연차,2정정 스카핑,스테인리스마케팅실장,인도네시아대표법인장
포스코인재창조원,김보라,오늘,선재품질관리섹션,Senior,파트장,010-6271-4703,,A조,교육,2정정 주수1반,노무외주실장,VPS법인장
포스코휴먼스,김보람,내일,소재품질관리섹션,Supervisor,파트장(통합),010-333-1256,,B조,반차,2정정 주수1반 주임,기술경영실장,광동순덕법인장
포스코ICT,김봉관,모레,열연품질관리섹션,계약직사원,파트장급,010-3245-6293,,C조,출장,2정정 주수2반,법무실장,광동포항법인장
포스코엠텍,김봉영,어제,재질시험섹션,계장,파트장대우,010-2347-1256,,D조,파견,2정정 주수2반주임,원료0실장,장가항법인장
포스코플랜텍,김봉진,오늘,전기강판품질관리섹션,리더,홍보위원,010-5672-1346,,A조,육아휴직,2정정주수2반 Slab수입및 열연장입,원료3실장,중경법인장
포스코미소금융재단,김부섭,내일,품질기술섹션,매니저,회장보좌역,010-2378-1009,,B조,예비군훈련,2정정파트 주편수입1반,원료4실장,청도법인장
포스웰,김상근,모레,품질시스템섹션,부사장,Chief PCP,010-6723-1930,,C조,민방위,2제강 (정련파트)2RH 설비운전,원료5실장,ASSAN법인장
포스코교육재단,김상민,어제,화학시험섹션,부장,IP PJT 리더,010-2345-6811,,D조,안식월,2제강 3연주 Smart Factory 구축,원료6실장,일본코일센터통합법인장
포스메이트,김상백,오늘,후판품질관리섹션,사원,Junior PCP,010-3457-2417,,A조,휴무,2제강 3전로 교체공사,원료7실장,SSVINA 법인장
포스파워,김상봉,내일,행정섭외그룹,상무급,PCE,010-3578-4538,,B조,연차,2제강 CRANE 전기정비,원료8실장,Thainox법인장
철강융합신기술연구조합,김상성,모레,섭외기획섹션,이사부장,PCP,010-2222-1134,,C조,교육,2제강 Crane 전기정비,원료9실장,미주대표법인장
포스코경영연구원,김상열,어제,지역협력섹션,전무,Senior PCE,010-1234-1134,,D조,반차,2제강 RH 노재 정비,원료10실장,홍콩금융법인장
포항공과대학교,김상영,오늘,행정섹션,지사장,Senior PCP,010-3321-1257,,A조,출장,2제강 기중기파트/기중기1주임,원료11실장,차이나대표법인장
포스코청암재단,김상용,내일,홍보섹션,현장실습생,공장장,010-1234-1257,,B조,파견,2제강 노외정련 통합파트장,원료12실장,차이나부법인장
포스코기술투자,김상우,모레,화성부,사장,국장,010-6271-4704,,C조,육아휴직,2제강 래들 관제,원료13실장,CSPC법인장
RIST,김상욱,어제,1코크스공장,상무이사,그룹장,010-333-1257,,D조,예비군훈련,2제강 용강 최고의 청정강제조,원료14실장,슬로베니아물류법인장
리스텍비즈,김상윤,오늘,2코크스공장,총괄업무,대표법인장,010-3245-6294,,A조,민방위,2제강 전로 설비점검,원료15실장,인도법인장
순천에코트랜스,김상익,내일,3코크스공장,P4,대표이사 회장,010-2347-1257,,B조,안식월,2제강 전로 취련.,원료16실장,이태리법인장
SNNC,김상인,모레,기술개발섹션,P5A,반장,010-5672-1347,,C조,휴무,2제강 전로 취련직,원료17실장,포스코재팬법인장
포스코터미날,김상철,어제,조업개선섹션,P5B,법무위원,010-2378-1010,,D조,연차,2제강 전로설비점검,원료18실장,Maharashtra법인장
포스코아이씨티,김상현,오늘,코크스노체관리섹션,기술위원,법인장,010-6723-1931,,A조,교육,2제강 전로취련직,원료19실장,말련법인장
부산E&E,김상훈,내일,화성정비섹션,수석,본부장,010-2345-6812,,B조,반차,2제강 전원 관리(Main전기실),원료20실장,멕시코물류법인장
포스코대우,김새롬,모레,환경자원그룹,주무을,부공장장,010-3457-2418,,C조,출장,2제강 정련,원료21실장,포스코멕시코법인장
엔투비,김서올,어제,대기보전섹션,외주직,부리더,010-3578-4539,,D조,파견,2제강 정련1반 주임업무,인니법인장,쿠알라룸프법인장
메가에셋,김석원,오늘,수질보전섹션,자문역,부문장,010-2222-1135,,A조,육아휴직,2제강 출강Schedule,철강사업본부장,멕시코가공센터법인장
포항에스알디씨,김석현,내일,자원재활용섹션,자문위원,부법인장,010-1234-1135,,B조,예비군훈련,2제강 크레인 기계정비,회장,마닐라법인장
피엠씨텍,김선곤,모레,환경개선PJT팀,A1,부장,010-3321-1258,,C조,민방위,2제강 크레인정비 전기파트,광양선강부소장,폴란드법인장
PNR,김선광,어제,후판부,E1,부장대우,010-1234-1258,,D조,안식월,2제강(정련파트/정련2반)정련설비운전,포항행정부소장,동남아대표법인장
포스코A&C,김선규,오늘,1후판공장,E7,비상임고문,010-6271-4705,,A조,휴무,2제강공장 노외정련 LF조업,자동차마케팅실장,태국가공센터법인장
포스코,김선만,내일,2후판공장,P11,사무소장,010-333-1258,,B조,연차,2제강공장 용강기중기직,인사실장,터키가공센터법인장
포스코P&S,김선애,모레,기술개발섹션,P12,사외이사,010-3245-6295,,C조,교육,2제강공장&고순도FeSi공장,법무실상무,포스코베트남법인장
포스코켐텍,김선영,어제,조업개선섹션,P13,상임이사,010-2347-1258,,D조,반차,2제강정련파트/설비관리,STS부소장,인니대표법인장
포스코강판,김선종,오늘,후판정비섹션,Advisor,센터장,010-5672-1348,,A조,출장,2제강크레인기계파트,광양행정부소장,아싼법인장
포스코건설,김선진,내일,후판제품공장,일반,실장,010-2378-1011,,B조,파견,2제선 고로직/ 나의안전짝꿍 신동준님,인니생산본부장,미주법인장
포스코E&E,김선태,모레,ER실,계약직,안전파트장,010-6723-1932,,C조,육아휴직,2제선공장 원가절감 활동 ('17.3.8~6.9),가정간판마케팅실장,이태리가공센터법인장
포스코에너지,김성경,어제,국내협력1그룹,일반직,연구소장,010-2345-6813,,D조,예비군훈련,2제선부공장장,해외사업실장,쿠알라룸프가공센터법인장
포스코ESM,김성고,오늘,국내협력1섹션,총괄직,연구원장,010-3457-2419,,A조,민방위,2제압,포항선강부소장,마닐라가공센터법인장
포스코인재창조원,김성규,내일,국내협력2그룹,Sr.Manager,일반,010-3578-4540,,B조,안식월,2제압 관제,광양선강부소장,폴란드가공센터법인장
포스코휴먼스,김성기,모레,국내협력2섹션,대리갑,자문교수,010-2222-1136,,C조,휴무,2주수2 주편수입,Smart Factory추진팀장,SouthAsia법인장
포스코ICT,김성대,어제,국제협력그룹,부총괄직,자문역,010-1234-1136,,D조,연차,2차 정련,광양설비부소장,TST법인장
포스코엠텍,김성배,오늘,국제협력1섹션,사원갑,제철소부소장,010-3321-1259,,A조,교육,2차 정련 RH,홍보상무,ITPC법인장
포스코플랜텍,김성범,내일,국제협력2섹션,주무갑,제철소장,010-1234-1259,,B조,반차,2차정련,포항안전설비부소장,쿠알라룸푸르가공센터법인장
포스코미소금융재단,김성복,모레,사회공헌그룹,과장급,주임,010-6271-4706,,C조,출장,2차정련 조업,비서실장,MYANMAR-POSCO(미얀마)법인장
포스웰,김성수,어제,나눔재단섹션,기타비상무이사,주임급,010-333-1259,,D조,파견,2코크4기 OVEN 전기정비& 화성부 노경협의회 대표,PR실장,POSCO ASSAN TST(터키)법인장
포스코교육재단,김성용,오늘,HR전략그룹,대리급,주임대우,010-3245-6296,,A조,육아휴직,2코크스  4기 기계 파트 Oven,솔루션마케팅실장,POSCO Japan PC(일본)법인장
포스메이트,김성윤,내일,HR전략섹션,부장급,추진단장,010-2347-1259,,B조,예비군훈련,2코크스 3기 전기,자재구매실장,POSCO SS VINA(베트남)법인장
포스파워,김성일,모레,성과지원섹션,사원급,추진반장,010-5672-1349,,C조,민방위,2코크스 4기 CDQ 전기정비,국내사업실장,POSCO Thainox(태국)법인장
철강융합신기술연구조합,김성중,어제,TTM섹션,상무보대우,추진반장(기술위원),010-2378-1012,,D조,안식월,2코크스 4기 Oven 전기정비,노무실장,POSCO Vietnam Holdings(베트남)대표법인장
포스코경영연구원,김성진,오늘,HR경영실,연봉계약직,추진반장(연구위원),010-6723-1933,,A조,휴무,2코크스 4기기계정비,법무상무,POSCO Vietnam Holdings(베트남)부법인장
포항공과대학교,김성집,내일,HR혁신실,임시직,팀장,010-2345-6814,,B조,연차,2코크스공장 CDQ 업무,스텐레스부소장,POSCO-AAPC(알라바마)법인장
포스코청암재단,김성탁,모레,글로벌HR그룹,임원급,팀장(기술위원),010-3457-2420,,C조,교육,2코크스공장 선탄설비기동점검반,포항안전부소장,POSCO-Africa(남아공)법인장
포스코기술투자,김성훈,어제,글로벌HR지원섹션,자문역,팀장(마케팅위원),010-3578-4541,,D조,반차,2코크스공장 설비기동점검,외주실장,POSCO-America(미국)대표법인장
RIST,김성희,오늘,글로벌인재육성섹션,차장급,팀장(연구위원),010-2222-1137,,A조,출장,2코크스공장 엔지니어,스테인리스부소장,POSCO-Asia(홍콩)법인장
리스텍비즈,김세연,내일,인사그룹,파견직,파트장,010-1234-1137,,B조,파견,2후판 FM,포항부소장,POSCO-Australia(호주)법인장
순천에코트랜스,김세윤,모레,인재육성섹션,이사,파트장(통합),010-3321-1260,,C조,육아휴직,2후판 가열로,포항제철소장,POSCO-Canada(캐나다)법인장
SNNC,김세환,어제,인재채용섹션,P1A,파트장급,010-1234-1260,,D조,예비군훈련,2후판 검사업무,PT.KRAKATAU POSCO 법인장,POSCO-China(중국)대표법인장
포스코터미날,김세훈,오늘,평가문화섹션,P1B,파트장대우,010-6271-4707,,A조,민방위,2후판 생산/품질 관리,인니법인장,POSCO-China(중국)부법인장
포스코아이씨티,김소연,내일,프로젝트지원그룹,노조위원장,홍보위원,010-333-1260,,B조,안식월,2후판 설비점검,광양제철소장,POSCO-CSPC(소주)법인장
부산E&E,김소영,모레,PJT기획섹션,부관리직,회장보좌역,010-3245-6297,,C조,휴무,2후판 수처리,경영지원본부장,POSCO-ESDC(슬로베니아)법인장
포스코대우,김수미,어제,PJT성과분석섹션,비상근연봉계약직,Chief PCP,010-2347-1260,,D조,연차,2후판 안전문화 리더,기술투자본부장,POSCO-India(인도)대표법인장
엔투비,김수범,오늘,POSTIM지원섹션,비상임고문,IP PJT 리더,010-5672-1350,,A조,교육,2후판 압연 전기정비,철강생산본부장,POSCO-ITPC(이탈리아)법인장
메가에셋,김수용,내일,행정지원그룹,선임,Junior PCP,010-2378-1013,,B조,반차,2후판 압연기계정비,철강부문장,POSCO-Japan(일본)대표법인장
포항에스알디씨,김수정,모레,서울사옥관리섹션,대표위원,PCE,010-6723-1934,,C조,출장,2후판 압연기계정비파트장,철강사업본부장,POSCO-Maharashtra(인도)법인장
피엠씨텍,김수한,어제,송도사옥관리섹션,상무,PCP,010-2345-6815,,D조,파견,2후판 압연기계파트 설비점검,가치경영센터장,POSCO-Malaysia(말레이시아)법인장
PNR,김수형,오늘,항공섹션,선임연구원,Senior PCE,010-3457-2421,,A조,육아휴직,2후판 압연전기,CEO,POSCO-MESDC(멕시코)법인장
포스코A&C,김순광,내일,행정섹션,수석연구원,Senior PCP,010-3578-4542,,B조,예비군훈련,2후판 압연정비 파트 Reheating Furnace  설비담당,선강담당 부소장,POSCO-Mexico(멕시코)법인장
포스코,김승규,모레,정도경영실,위원,공장장,010-2222-1138,,C조,민방위,2후판 압연직,선재제어냉각PJT팀장,POSCO-MKPC(쿠알라룸푸르)법인장
포스코P&S,김승남,어제,법무실,책임연구원,국장,010-1234-1138,,D조,안식월,2후판 전단 전기정비,CSP 조업담당 임원,POSCO-MPPC(멕시코)법인장
포스코켐텍,김승모,오늘,연구기획그룹,자문교수,그룹장,010-3321-1261,,A조,휴무,2후판 정정기계정비,행정담당 부소장,POSCO-PMPC(마닐라)법인장
포스코강판,김승목,내일,포항연구소,전문컨설턴트,대표법인장,010-1234-1261,,B조,연차,2후판 제품 파트장,POIST실용화추진반장,POSCO-PWPC(폴란드)법인장
포스코건설,김승범,모레,제강연구그룹,인턴사원,대표이사 회장,010-6271-4708,,C조,교육,2후판공장,주문외제품ValueUp-PJT팀장,POSCO-RU(러시아)법인장
포스코E&E,김승신,어제,광양연구소,대표이사,반장,010-333-1261,,D조,반차,2후판압연기계정비,자동차소재마케팅실장,POSCO-SouthAsia(태국)대표법인장
포스코에너지,김승애,오늘,표면처리연구그룹,사장,법무위원,010-3245-6298,,A조,출장,2후판압연전기정비,HR혁신실장,POSCO-TCS(태국)법인장
포스코ESM,김승우,내일,에너지조선마케팅실,비상무이사,법인장,010-2347-1261,,B조,파견,2후판전단 전기정비,정도경영실장,POSCO-TNPC(터키)법인장
포스코인재창조원,김승은,모레,자동차소재마케팅실,사외이사,본부장,010-5672-1351,,C조,육아휴직,2후판전단기계정비.소 제안위원,법무실 법무위원,POSCO-Vietnam(베트남)법인장
포스코휴먼스,김승조,어제,자동차강판판매그룹,팀원,부공장장,010-2378-1014,,D조,예비군훈련,2후판전단기계파트/전단기계설비 담당,STS담당 부소장,POSCO-VST(베트남)법인장
포스코ICT,김승태,오늘,자동차강판수출1그룹,협력사,부리더,010-6723-1935,,A조,민방위,2후판전단전기파트,광양제철소 행정담당 부소장,PT. POSCO-Indonesia Inti(인도네시아)대표법인장
포스코엠텍,김승한,내일,자동차강판수출2그룹,반원,부문장,010-2345-6816,,B조,안식월,3 APL 운전,HiFAME연구PJT팀장,VPS(베트남)법인장
포스코플랜텍,김승현,모레,전기전자마케팅실,촉탁직,부법인장,010-3457-2422,,C조,휴무,3 DCNL,정보기획실장,광동순덕포항강판유한공사(중국)법인장
포스코미소금융재단,김시권,어제,냉연판매그룹,단장,부장,010-3578-4543,,D조,연차,3 HCL ( ^-^ 어리버리팀장 ^-^ ),PT.KRAKATAU POSCO 생산본부장,광동포항기차판유한공사(중국)법인장
포스웰,김신우,오늘,가공소재판매그룹,부단장,부장대우,010-2222-1139,,A조,교육,3 MC 주조 작업,글로벌마케팅조정실장,장가항포항불수강유한공사(중국)법인장
포스코교육재단,김안나,내일,가전강판판매그룹,시니어매니저,비상임고문,010-1234-1139,,B조,반차,3 전기강판 3APL근무,전기전자마케팅실장,중경포항중강기차판유한공사(중국)법인장
포스메이트,김연동,모레,전기강판판매그룹,주니어매니저,사무소장,010-3321-1262,,C조,출장,3-2CAL Furnace 운전,해외사업관리실장,청도포항불수강유한공사(중국)법인장
포스파워,김연웅,어제,선재마케팅실,G1,사외이사,010-1234-1262,,D조,파견,3-2CAL 소둔업무,신사업실장,미얀마법인장
철강융합신기술연구조합,김연주,오늘,선재판매그룹,G2,상임이사,010-6271-4709,,A조,육아휴직,3-2연주 담당,에너지조선마케팅실장,터키법인장
포스코경영연구원,김영곤,내일,조강판매그룹,G3,센터장,010-333-1262,,B조,예비군훈련,3.4.5기 야드설비 유지관리,포항연구소장,재팬피씨법인장
포항공과대학교,김영관,모레,포항제철소,G4,실장,010-3245-6299,,C조,민방위,3.4M/C전기정비_3M/C Discharge설비,포항제철소 선강담당 부소장,SS VINA 법인장
포스코청암재단,김영국,어제,섭외그룹,G6,안전파트장,010-2347-1262,,D조,안식월,3.4고로 안정송풍,광양제철소 압연담당 부소장,타이녹스법인장
포스코기술투자,김영남,오늘,노무그룹,Associate,연구소장,010-5672-1352,,A조,휴무,3.4기 수송설비 및 공장 환경관리,안전생산전략실장,베트남대표법인장
RIST,김영란,내일,기술부,비상임감사,연구원장,010-2378-1015,,B조,연차,3.4소결  조업관리/나의 안전짝궁 황문종님,열연설비성능혁신PJT팀장,베트남부법인장
리스텍비즈,김영상,모레,제선부,비상임이사,일반,010-6723-1936,,C조,교육,3.4소결 기계정비/나의 안전짝궁은 강주호님입니다.,광양제철소 설비담당 부소장,AAPC법인장
순천에코트랜스,김영식,어제,원료공장,강사,자문교수,010-2345-6817,,D조,반차,3.4소결 기계정비/나의 안전짝궁은 김홍덕선배님입니다.,PosMAZIC연구PJT팀장,남아공법인장
SNNC,김영애,모레,소결공장,교감,자문역,010-3457-2423,,A조,출장,3.4소결 기계정비파트장(3소결공장 건가1층 3.4소결정비실),광양연구소장,미국대표법인장
포스코터미날,김영은,어제,1제선공장,교사,제철소부소장,010-3578-4544,,B조,파견,3.4소결 조업4파트 조업지원4반 주임 / 나의 안전짝꿍은 장동우님 입니다.,선재마케팅실장,홍콩법인장
포스코아이씨티,김영일,오늘,2제선공장,교장,제철소장,010-2222-1140,,C조,육아휴직,3.4소결 청정 전기/나의 짝꿍은 권대혁 부총괄님 입니다..,광양제철소 SNG사업추진반장,호주법인장
부산E&E,김영재,내일,화성부,RA,주임,010-1234-1140,,D조,예비군훈련,3.4소결조업관리/나의 안전짝궁 채호병,원료4실장,캐나다법인장
포스코대우,김영준,모레,1코크스공장,계약,주임급,010-3321-1263,,A조,민방위,300계 제강,원료5실장,중국대표법인장
엔투비,김영중,어제,2코크스공장,계약직엔지니어,주임대우,010-1234-1263,,B조,안식월,300톤 전로 완벽취련,재무실장,중국부법인장
메가에셋,김영칠,내일,3코크스공장,계약직연구원,추진단장,010-6271-4710,,C조,휴무,32기QSS개선리더,유럽사무소장,소주법인장
포항에스알디씨,김영현,모레,제강부,명예연구원,추진반장,010-333-1263,,D조,연차,33기 QSS 개선리더,PosACT연구PJT팀장,슬로베니아법인장
피엠씨텍,김영훈,어제,1제강공장,위촉직,추진반장(기술위원),010-3245-6300,,A조,교육,33기 QSS+ 개선리더,홍보위원,인도대표법인장
PNR,김예민,오늘,2제강공장,자문,추진반장(연구위원),010-2347-1263,,B조,반차,34기 QSS개선활동,포항제철소 안전설비담당 부소장,이탈리아법인장
포스코A&C,김옥삼,내일,2연주공장,초빙,팀장,010-5672-1353,,C조,출장,3ACL,엔지니어링솔루션실장,일본대표법인장
포스코,김완수,모레,3제강공장,겸직 기술원,팀장(기술위원),010-2378-1016,,D조,파견,3ACL 소둔코팅2반 주임/나의 안전짝꿍(장성근),기술투자본부 기술위원 고로개수PJT팀장,마하라수트라법인장
포스코P&S,김요섭,어제,3연주공장,겸직기술원,팀장(마케팅위원),010-6723-1937,,A조,육아휴직,3ACL 운전/나의 안전짝꿍(박광형주임),포항제철소 압연담당 부소장,말레이시아법인장
포스코켐텍,김용원,오늘,4연주공장,겸직연구원,팀장(연구위원),010-2345-6818,,B조,예비군훈련,3ACL(안전짝꿍:이성곤님),철강사업전략실장,MESDC법인장
포스코강판,김용재,내일,품질기술부,겸직행정원,파트장,010-3457-2424,,C조,민방위,3APL,HR경영실장,멕시코법인장
포스코건설,김용주,모레,열연부,관리이사,파트장(통합),010-3578-4545,,D조,안식월,3APL 입측,투자엔지니어링실장,쿠알라룸푸르법인장
포스코E&E,김용혁,어제,1열연공장,이사,파트장급,010-2222-1141,,A조,휴무,3APL 통합관리,철강생산본부 기술위원,MPPC법인장
포스코에너지,김용현,오늘,2열연공장,L1,파트장대우,010-1234-1141,,B조,연차,3APL(나의 안전짝궁 이상훈),GPS제강PJT팀장,PMPC법인장
포스코ESM,김용협,내일,후판부,L2,홍보위원,010-3321-1264,,C조,교육,3CAL Furnace 기계정비 / 나의 안전 짝궁 안상우,용강비정질PJT팀장,PWPC법인장
포스코인재창조원,김용호,모레,1후판공장,L3,회장보좌역,010-1234-1264,,D조,반차,3CAL전기정비/나의 안전짝궁 도성호주무,고Mn강특화솔루션PJT팀장,러시아법인장
포스코휴먼스,김용환,어제,2후판공장,L4,Chief PCP,010-6271-4711,,A조,출장,3CGL POT운전,ER실장,동남아시아대표법인장
포스코ICT,김우수,오늘,후판제품공장,L5,IP PJT 리더,010-333-1264,,B조,파견,3CGL 엔지니어(기술/품질/수익성),철강사업본부 연구위원,TCS법인장
포스코엠텍,김우영,내일,선재부,L6,Junior PCP,010-3245-6301,,C조,육아휴직,3CGL 입측 소재관리 및 설비관리,GigaSteel상용화추진반장,TNPC법인장
포스코플랜텍,김우호,모레,1선재공장,감독,PCE,010-2347-1264,,D조,예비군훈련,3CGL 출측운전,기술연구원장,베트남법인장
포스코미소금융재단,김욱동,어제,2선재공장,보세사,PCP,010-5672-1354,,A조,민방위,3COKE 5기전기,경영전략실장,VST법인장
포스웰,김원경,오늘,3선재공장,부소장,Senior PCE,010-2378-1017,,B조,안식월,3COKE CDQ,홍보실장,인도네시아대표법인장
포스코교육재단,김원배,내일,4선재공장,소장,Senior PCP,010-6723-1938,,C조,휴무,3DNL,철강솔루션마케팅실장,VPS법인장
포스메이트,김원석,모레,냉연부,총괄감독,공장장,010-2345-6819,,D조,연차,3DNL 3COF,설비자재구매실장,광동순덕법인장
포스파워,김원영,어제,1냉연공장,ChiefPCP,국장,010-3457-2425,,A조,교육,3DNL MAIN,국내사업관리실장,광동포항법인장
철강융합신기술연구조합,김원일,오늘,2냉연공장,JuniorPCP,그룹장,010-3578-4546,,B조,반차,3F 기계정비,스테인리스마케팅실장,장가항법인장
포스코경영연구원,김위준,내일,강판부,PCE,대표법인장,010-2222-1142,,C조,출장,3FINEX HCI 및 유동로 조업,노무외주실장,중경법인장
포항공과대학교,김유나,모레,1전기강판공장,SeniorPCE,대표이사 회장,010-1234-1142,,D조,파견,3FINEX 기계정비직,기술경영실장,청도법인장
포스코청암재단,김유석,어제,2전기강판공장,공장장,반장,010-3321-1265,,A조,육아휴직,3FINEX 배가스 에너지회수 시운전 TF,법무실장,ASSAN법인장
포스코기술투자,김유섭,오늘,3전기강판공장,국장,법무위원,010-1234-1265,,B조,예비군훈련,3FINEX 성형탄,원료0실장,일본코일센터통합법인장
RIST,김유수,내일,설비기술부,회장,법인장,010-6271-4712,,C조,민방위,3FINEX 성형탄 B.Q_2 Group 설비 담당주치의,원료3실장,SSVINA 법인장
리스텍비즈,김유신,모레,EIC기술부,리더대우,본부장,010-333-1265,,D조,안식월,3FINEX 용융로,원료4실장,Thainox법인장
순천에코트랜스,김유정,어제,선강설비그룹,반장,부공장장,010-3245-6302,,A조,휴무,3FINEX 용융파트 2반 수처리 기계정비,원료5실장,미주대표법인장
SNNC,김유현,오늘,압연설비그룹,법인장,부리더,010-2347-1265,,B조,연차,3FINEX 원료 성형탄 파트 설비 강건화,원료6실장,홍콩금융법인장
포스코터미날,김윤수,내일,에너지부,부공장장,부문장,010-5672-1355,,C조,교육,3FINEX 유동Part 기계 2주임(유동로 및 장입계통),원료7실장,차이나대표법인장
포스코아이씨티,김윤재,모레,산소공장,부리더,부법인장,010-2378-1018,,D조,반차,3FINEX 유동로파트 기계정비 업무,원료8실장,차이나부법인장
부산E&E,김윤희,어제,철강생산본부,부사장,부장,010-6723-1939,,A조,출장,3FINEX 유동파트 1반  HCI 설비담당,원료9실장,CSPC법인장
포스코대우,김은경,오늘,섭외그룹,부장,부장대우,010-2345-6820,,B조,파견,3FINEX 전기정비(수처리) 나의 안전도우미(한주희),원료10실장,슬로베니아물류법인장
엔투비,김은미,내일,노무그룹,부장대우,비상임고문,010-3457-2426,,C조,육아휴직,3HCL,원료11실장,인도법인장
메가에셋,김은별,모레,기술부,사무소장,사무소장,010-3578-4547,,D조,예비군훈련,3M/C,원료12실장,이태리법인장
포항에스알디씨,김은비,어제,제선부,상무보,사외이사,010-2222-1143,,A조,민방위,3M/C L/D Man,원료13실장,포스코재팬법인장
피엠씨텍,김은원,오늘,원료공장,센터장,상임이사,010-1234-1143,,B조,안식월,3M/C OS,원료14실장,Maharashtra법인장
PNR,김은주,내일,소결공장,실장,센터장,010-3321-1266,,C조,휴무,3PCM 노후설비교체,원료15실장,말련법인장
포스코A&C,김응주,모레,1제선공장,연구원,실장,010-1234-1266,,D조,연차,3PCM 합리화 압연수식모델 개발 PJT,원료16실장,멕시코물류법인장
포스코,김의석,어제,2제선공장,연구위원보,안전파트장,010-6271-4713,,A조,교육,3RH,원료17실장,포스코멕시코법인장
포스코P&S,김익수,오늘,3제선공장,전문연구원,연구소장,010-333-1266,,B조,반차,3RH 용강정련작업,원료18실장,쿠알라룸프법인장
포스코켐텍,김인규,내일,화성부,추진반장,연구원장,010-3245-6303,,C조,출장,3ZRM,원료19실장,멕시코가공센터법인장
포스코강판,김인성,모레,1코크스공장,팀장,일반,010-2347-1266,,D조,파견,3ZRM 신설,원료20실장,마닐라법인장
포스코건설,김인수,어제,2코크스공장,팀리더,자문교수,010-5672-1356,,A조,육아휴직,3ZRM 신설공사,원료21실장,폴란드법인장
포스코E&E,김일규,오늘,3코크스공장,사업부장,자문역,010-2378-1019,,B조,예비군훈련,3ZRM 신설업무,인니법인장,동남아대표법인장
포스코에너지,김일수,내일,제강부,영업,제철소부소장,010-6723-1940,,C조,민방위,3ZRM 정비,철강사업본부장,태국가공센터법인장
포스코ESM,김일우,모레,1제강공장,조장,제철소장,010-2345-6821,,D조,안식월,3ZRM 정비 (전기),회장,터키가공센터법인장
포스코인재창조원,김자영,어제,2제강공장,주재원,주임,010-3457-2427,,A조,휴무,3ZRM 정비(기계),광양선강부소장,포스코베트남법인장
포스코휴먼스,김장현,오늘,1연주공장,지역총괄,주임급,010-3578-4548,,B조,연차,3ZRM 파트장,포항행정부소장,인니대표법인장
포스코ICT,김재균,내일,2연주공장,파트장,주임대우,010-2222-1144,,C조,교육,3ZRM운전,자동차마케팅실장,아싼법인장
포스코엠텍,김재기,모레,슬라브정정공장,SM,추진단장,010-1234-1144,,D조,반차,3고로 1반,인사실장,미주법인장
포스코플랜텍,김재명,어제,예비처리공장,그룹원,추진반장,010-3321-1267,,A조,출장,3고로 1반 출선,법무실상무,이태리가공센터법인장
포스코미소금융재단,김재선,오늘,품질기술부,PM,추진반장(기술위원),010-1234-1267,,B조,파견,3고로 기술원,STS부소장,쿠알라룸프가공센터법인장
포스웰,김재식,내일,열연부,주임직무대행,추진반장(연구위원),010-6271-4714,,C조,육아휴직,3고로 노전반,광양행정부소장,마닐라가공센터법인장
포스코교육재단,김재우,모레,1열연공장,PJT전문직,팀장,010-333-1267,,D조,예비군훈련,3고로 노전파트/3고로 1반 출선업무,인니생산본부장,폴란드가공센터법인장
포스메이트,김재욱,어제,2열연공장,상임감사,팀장(기술위원),010-3245-6304,,A조,민방위,3고로 조로파트/3고로 2반,가정간판마케팅실장,SouthAsia법인장
포스파워,김재원,오늘,3열연공장,실원,팀장(마케팅위원),010-2347-1267,,B조,안식월,3고로1반,해외사업실장,TST법인장
철강융합신기술연구조합,김재유,내일,후판부,대표법인장,팀장(연구위원),010-5672-1357,,C조,휴무,3고로1반 B조 출선,포항선강부소장,ITPC법인장
포스코경영연구원,김재익,모레,후판공장,법무위원,파트장,010-2378-1020,,D조,연차,3고로개수-원료.PCI.EIC,광양선강부소장,쿠알라룸푸르가공센터법인장
포항공과대학교,김재인,어제,냉연부,부문장,파트장(통합),010-6723-1941,,A조,교육,3고로기계파트/파트장,Smart Factory추진팀장,MYANMAR-POSCO(미얀마)법인장
포스코청암재단,김재현,오늘,1냉연공장,부법인장,파트장급,010-2345-6822,,B조,반차,3고로노전파트/3고로1반,광양설비부소장,POSCO ASSAN TST(터키)법인장
포스코기술투자,김재형,내일,2냉연공장,상임이사,파트장대우,010-3457-2428,,C조,출장,3공장 용융로 2반 수처리및 수도설비,홍보상무,POSCO Japan PC(일본)법인장
RIST,김재호,모레,3냉연공장,안전파트장,홍보위원,010-3578-4549,,D조,파견,3기 로체연소반,포항안전설비부소장,POSCO SS VINA(베트남)법인장
리스텍비즈,김재홍,어제,4냉연공장,연구소장,회장보좌역,010-2222-1145,,A조,육아휴직,3기 조업 지원(협의회대표),비서실장,POSCO Thainox(태국)법인장
순천에코트랜스,김재화,오늘,도금부,연구원장,Chief PCP,010-1234-1145,,B조,예비군훈련,3기 코크스 & CDQ 설비관리,PR실장,POSCO Vietnam Holdings(베트남)대표법인장
SNNC,김재환,내일,1도금공장,제철소부소장,IP PJT 리더,010-3321-1268,,C조,민방위,3기 코크스운전 및 설비관리,솔루션마케팅실장,POSCO Vietnam Holdings(베트남)부법인장
